,judul
0,"Luhut Pandjaitan Larang Pejabat ke Luar Negeri Untuk Cegah Omicron, Kesalahan Menteri Diungkap"
1,"Indonesia Waspadai Omicron, Luhut Pandjaitan Larang Pejabat Negara Lakukan Perjalanan ke Luar Negeri"
2,"WHO Konfirmasi Varian Covid-19 Omicron di 23 Negara, Berikut Daftar Lengkapnya"
3,Kemenkes Minta Masyarakat Waspada dengan Covid-19 Varian Omicron
4,Ahli Epidemiologi Ungkap Kunci Cegah Penularan Covid-19 Varian Omicron
5,5 Cara Mencegah Penularan Covid-19 Varian Omicron yang Sedang Diwaspadai
6,Cek Fakta: Benarkah Varian Covid-19 Omicron Sudah Ada Sejak Juli 2021? Simak Kebenarannya
7,Apa yang Dirasakan Pasien Covid-19 Omicron? Dokter Afrika Selatan Mengungkapnya
8,"Covid-19 Varian Omicron Merebak, Balita di Afrika Selatan Sumbang 10 Persen Rawat Inap Rumah Sakit"
9,Ilmuwan Afrika Selatan Mulai Menilai Efektivitas Vaksin Covid-19 terhadap Varian Omicron
10,"Covid-19 Varian Omicron Jadi Ancaman Baru Dunia, Menteri Kesehatan G7 Serukan 'Tindakan Segera'"
11,"Varian Baru Corona Omicron Ditemukan di Negara-negara, Berikut Rekomendasi WHO"
12,Pfizer Mulai Menguji Versi Terbaru Vaksin Covid-19 untuk Perangi Varian Omicron
13,Megawati Keluarkan Perintah ke PDIP: Jangan Anggap Remeh Varian Omicron
14,Sri Mulyani Khawatir Varian Omicron Jadi Mimpi Buruk Pemulihan Ekonomi RI
15,"Omicron, Babak Baru Mimpi Buruk Covid-19"
16,Joe Biden Mengaku Warga AS Tak Panik Terhadap Varian Omicron: Kami Punya Banyak Alat untuk Melawan
17,"Cegah Varian Omicron, Jepang Berlakukan Pelarangan Kedatangan Masuk untuk Semua Negara"
18,"Pengakuan Dokter yang Pertama Kali Temukan Omicron: Gejala Sangat Ringan, Pasien hanya Perlu Dirawat di Rumah"
19,"Gejala Covid-19 Omnicron Dibeberkan oleh Dokter yang Menemukannya, Tak Ada Batuk atau Hilang Indra Penciuman?"
20,"5 Fakta Covid-19 Varian Omicron, Kenali Gejala dan Risikonya"
21,"Puji Langkah Pemerintah Antisipasi Omicron, Epidemiolog: Tindakan Terbaik"
22,Benarkah Vaksin Covid-19 Efektif Cegah Varian Omicron? Pakar Ungkap Kemungkinannya
23,"Gencar Pembatasan Ketat, Covid-19 Varian Omicron Justru Teridentifikasi di Setidaknya 13 Negara"
24,"Varian Omicron Telah Muncul di Amerika Utara dan Negara Lain, Korea Selatan 'Ketar-ketir'"
25,"Covid-19 Varian Omicron Timbulkan Risiko, Ratusan Negara Didesak Percepat Vaksinasi"
26,"WHO Lewati 2 Alfabet Yunani untuk Namai Varian Omicron, Benarkah Berkaitan dengan Xi Jinping?"
27,"Omicron Berkaitan dengan Orang Positif HIV di Afrika, Kemenkes Beri Penjelasan"
