tweet,userid
"Tak Sesuai Kesepakatan, Buruh Tangerang Raya Tolak Penetapan UMK Banten 2022 hingga Ancam Aksi Besar-besaran https://t.co/sbVetqbNMO",58880688
@Resty442_ Kenapa demo buruh yg berjubel2 dapat izin?....makin terang benderang siapa mereka,1330047738541694978
"Demo Buruh Rentan Ditunggangi Provokator
https://t.co/I4Y5n7gAWN
Ayo Disiplin Prokes",1213739491384426497
"@geloraco buruh, PP juga kemarin demo gak ada tuh pasal2an.. yg ada polisi yg jadi pasien... 
di bali juga simpatisan OPM asoy aja sampe tawuran malah.. sila ke 5 diumpetin kemana..?",930191748688592896
Berikanlah kepada buruh upahnya sebelum kering keringatnya. (HR. Abu Yu'la),62988958
"Gaji klau boss x kasi full seperti yang di janjikan, boleh report dkt pejabat buruh x?",317566537
"Ratusan buruh yang tergabung dalam Forum Komunikasi Pekerja Antar Kebun (FK PAK) menggelar demonstrasi di Kantor Pemkab hingga DPRD Jember, Rabu. https://t.co/bUt1hvcaGB",23343960
"Buruh Ngeluh UMP Naik Dikit, Bahlil: Yus Sama-sama Berjiwa Besar https://t.co/agNNz2vptF",2392460208
"@yarachantique Buruh g punya hati, bajingan",1345589397169741824
@ZZulfikli 1)Kena perkasakan pejabat buruh malaysia buat macam Singapore pejabat buruh di orang sangat tegas dan sistematik siap boleh saman mana mana Company mana yang Langgar arahan.,4698423613
@brigittasiw Kudu redefinisi ulang atau memang belum paham definisi buruh kali para selebgram,72884031
"Entah lah lulusan S7 Mamarika begini ? Minta ubah PP 36/2021 untuk buruh #DKIJakarta ke Kemnaker 😂 

Bro kewenangan Kemnaker itu : Uang Servis , pengangkatan /pemberhentian dewan pengupahan,THR serta struktur dan skala upah.

https://t.co/blFoxdhJC6",1396642330208178176
"@democrazymedia Yuk berjiwa besar "" gaji bapak disamakan dengan gaji buruh""",1319169672260939776
"@briedgejust @antiborju Bukan berarti dia buruh dan punya kerakter kelas, bnyak juga buruh yg oportunis, induvidualis, sok cere pada kondisi sosial tapi gila jabatan..",1097737867961393152
"Bahlil Ajak Buruh Berjiwa Besar Tak Tuntut Upah Tinggi, membuktikan bahwa Petinggi negeri ini bekerja untuk kepentingan para pemodal.

""Tuhan Kita bkn orang Arab"" Membuktikan perkataan Petinggi Negara hanya memperkeruh keadaan dan selalu memancing kericuhan publik.
#RusakRIkrnnya",1109480963770408960
"Pak @ArizaPatria  kok bapak ga komen waktu PP, mahasiswa dan buruh demo???  Knp skrg umat islam dmn bpk jg islam mau kumpul silaturahmi dan bersuara secara damai dipersulit? Knp ga difasilitasi?

Emang corona bs pilih2 kerumunan pak? 

@MprAldo 
@Stevaniehuangg 
@Nicho_Silalahi https://t.co/k8EQ3MqswK",984375446895640576
Netizen ig emg otaknya ngga ada. Miris gue baca komenan² yg menyudutkan para buruh. https://t.co/NRT6dxqiEr,1241332551282618369
"Demo buruh rentan ditunggangi oleh provokator

Ayo Disiplin Prokes https://t.co/u7gWjWq3A9",1397194498975883271
"Direktur Eksekutif Pusat Politik dan Sosial Indonesia (Puspolindo) Dian Cahyani mengatakan, langkah Anies Baswedan dalam merespon tuntutan buruh sangat tepat dan cukup baik bagi Buruh. #DemoBuruh #UMP
https://t.co/eaqNsMv73G",1458576556377346051
"Waspadai ancaman demo 2 Juta buruh untuk protes kenaikan UMP

Ayo Disiplin Prokes https://t.co/NTCjCY51qs",1397194498975883271
"Masih Tak Terima dengan Penetapan UMK 2022, Buruh se-Banten akan Mogok Kerja Hingga 10 Desember 2021
 
https://t.co/uA5CH5GmgU via @tribunnews",1243113157066776576
"Waspadai ancaman demo 2 Juta buruh untuk protes kenaikan UMP

Ayo Disiplin Prokes https://t.co/Q8s5JO2IHx",928103302037880832
"Demo buruh rentan ditunggangi oleh provokator

Ayo Disiplin Prokes https://t.co/xRd888dmQ0",928103302037880832
"@geloraco Klo polisi ga adil ,rakyat akan melawan,,kemarin demo buruh,demo ormas pp ga dilarang, giliran 212 dilarang,,ada dgn polisi,,apa mereka ini sdh jd pembela anti islam?",1623010292
"Pemerintah akan menindaklanjuti putusan MK tersebut dengan mengajukan surat kepala DPR RI untuk memasukkan revisi UU Cipta Kerja kedalam Prolegnas Prioritas tahun 2022.
@jokowi pro buruh https://t.co/4KG5kadv0P",2907040202
Buruh Tangerang Raya Tolak Penetapan UMK Provinsi Banten 2022 https://t.co/m5RQYOg1FE,1142137706840875008
"Kalo dalihnya melanggar UU Prokes,kmren ada unjukrasa buruh,mahasiswa....kok boleh.Tegas saja jawab: pokoknya umat muslim dilarang bicara.Titik. https://t.co/X5KJ6eKawP",3278482676
"@republikaonline Tapi Berdampak Negatif ke Rakyatnya...
Ribuan buruh korban Omnibuslaw",252493488
"Pdkng jenderal kardus n jenderal baper kampret ngak malu bahas hutang lah sang jenderal sj byk hutang pribadi kengr kok ngak pd ngaca sih ya pdkngnya duh tolol banget bahkan ktnya karyawannya sj blm digaji kok mlh mau mensejahterakan buruh ktnya ngakak guling2 
#Jokowi2Periode",982189937201070081
Buruh demo boleh cebong demo boleh  yang gak baoleh itu umat islam https://t.co/t0lXG6OE2S,773300786
"@piitpitia @memiii_____ @IchaVarma Kalau gaji buruh sudah besar akan berpengaruh kepada pendidikan, buruh akan menyekolahkan anaknya ke tempat yang lebih.",1424279080925503491
"@memiii_____ @IchaVarma Kalau elu lihat keuntungan para kapitalistik, elu akan sadar kalau buruh itu selalu dibayar dengan upah murah.",1424279080925503491
