,id,tweet,clean_tweet
0,1468137940844830721,"@republikaonline PPKM Level 3 dipindahkan pas saat romadhon &amp; idul Fitri aja...

Biasalah itu gak kaget &amp; bukan hal baru...

https://t.co/HsKBaFopen",ppkm level pindah pas romadhon amp idul fitri  biasa tidak kaget amp
1,1468137931697111041,"Kapolsek Gatak IPTU Tugiyo, S.H., M.H. bersama anggota melaksanakan pengecekan Posko PPKM Level 2 di Balai Desa Trosemi Kec Gatak Kab Sukoharjo.

Selasa (07/12/2021)
#PolisiSukoharjo
#PolriPresisi https://t.co/Rg84QtMy1a",kapolsek gatak iptu tugiyo s h m h anggota laksana kece posko ppkm level balai desa trosemi kec gatak kab sukoharjo selasa polisisukoharjo polripresisi
2,1468137794874707970,Alasan Pembatalan PPKM Level 3 Jelang Nataru hingga Masyarakat Bisa Merayakan Natal dan Tahun Baru https://t.co/WiHoCDbzw1,alas batal ppkm level jelang nataru masyarakat raya natal
3,1468137794438504448,serius ppkm akhir taun dibatalin???? tp msh blh ambil cuti akhir taun gaksiii????,serius ppkm taun dibatalin tp msh blh ambil cuti taun gaksiii
4,1468137760317788161,Kata pak luhut covid di indonesia sudah terkendali sehingga gaperlu diberlakukan ppkm lv. 3. Tapi kemarin liat berita angka covid di india sekarang tertinggi setelah juli jadi bikin merinding sendiri. Semoga indonesia tetap terkendali 😭,luhut covid indonesia kendali gaperlu laku ppkm lv kemarin liat berita angka covid india tinggi juli bikin merinding moga indonesia kendali
5,1468137745637801987,"feeling gue kok libur nya ttp ada ya, karna ppkm level 3 dibatalkan",feeling gue libur nya ttp ya karna ppkm level batal
6,1468137674628218880,"@geloraco Dia kan mo natalan, jelas PPKM tdk berlaku.. Atur aja sesukamu pung mumpun lagi berkuasa.",mo natal ppkm tdk laku atur  suka pung mumpun kuasa
7,1468137660380172289,"Mau tau game gacor , JP rekomendasi hari ini ? Nih dia Jawabannya No Tipu Tipu Cuma di Sini Situs Judi Online Terbaik Untuk Semua Kalangan , langsung aja gasken ke Nona88.
#nona88 #game #gameonline #gameonlineindonesia #slot #PPKM #slotonline #slotgame #slotgacorhariini https://t.co/i5UJGFCEQX",tau game gacor jp rekomendasi nih jawab no tipu tipu situs judi online baik kalang langsung  gasken nona nona game gameonline gameonlineindonesia slot ppkm slotonline slotgame slotgacorhariini
8,1468137638745948161,"PPKM Level 3 Dibatalkan, Perayaan Tahun Baru Dibolehkan?
https://t.co/Rde2fyxLgs",ppkm level batal raya boleh
9,1468137557296705536,"Wingi PPKM do ngeluh raisoh ngopo"",
Bareng wes ra PPKM genti ngeluh peh akeh sumbangan wong ewoh.",wing ppkm do ngeluh raisoh ngopo bareng wes ra ppkm genti ngeluh peh akeh sumbang ewoh
