id,tweet
1467882948875620358,@ddoodoy Gassin sebelum tutup ppkm xixi
1467882785138380804,Penanganan pandemi Covid-19 di Indonesia menunjukkan perbaikan signifikan dan terkendali pada tingkat yang rendah meski masih tersisa 12 kabupaten/kota di Jawa-Bali di level 3 PPKM. https://t.co/t6H9b2vyOg
1467882601633312769,"@chngeol engga, sy lg gd jadwal pak kan mau ppkm jd gabole ada aktivitas di luar rumah"
1467882577428058113,@Aku_Ambivert Kalo taun ini gak tau karna info ppkm masih simpang siur
1467882365758296067,"@Getsigege @lidyadwp Hahahaha susah bgt gua weekend
Ntar yuk pas ppkm,gua libur total"
1467882048329183237,@maswanlagi Di rumah aja udh wkwk ppkm
1467881903965581313,"Hasil Survei Indikator Politik soal Publik Tak Setuju PPKM, Ini Kata Stafsus Mensesneg https://t.co/nWyDpljjcW"
1467881846453063684,"@raranng_ Malam kak, menyesuaikan dengan ditetapkannya PPKM level 2 di DKI Jakarta, layanan Transjakarta koridor 1-13 kembali menyesuaikan jam operasional menjadi pukul 05.00 - 21.30 WIB.
Angkutan Malam Hari dan layanan khusus bagi tenaga kesehatan beroperasi pukul 21.31 - 22.30 WIB. ^ZL"
1467881406860652546,sebelum PPKM level 3 diberlakukan https://t.co/0Ci4oQqLOL
1467881358093524997,"@Grettav13_ @livingoddess_ @nfhzlf @JaohariLatif Tapi ya tetep gpp, kalau emg harus demi kebaikan dukung bgt 1000%. Takut jg ngebayangin mesti PPKM lagi sepanjang tahun dpn, jangan ya plis aku mau sering2 plg &amp; jalan2 tanpa hrs antigen &amp; pcr. Masa tabungan abis disitu doang tolonglah🥲"
1467880553848344584,@selamatmalammm ppkm cintaa
1467880452014755844,Td ada reply blg ppkm circle https://t.co/dFyt5VsS2O
1467880275044536320,Hati hati karena tahun 2022 jadwal ppkm akan dimasukan di kalender
1467880174813270018,"JAKARTA - Pemerintah memutuskan untuk kesekian kalinya memperpanjang Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM), sebagai salah satu upaya untuk mengendalikan pandemi Covid-19. Meskipun https://t.co/3gOwDULaQp"
1467879783639838726,"@jogmfs Daerah giwangan enek sek bukak sampek bengi lak mbyen,ml Mari ppkm mbuh"
1467879474163191810,@jsuhstop ANAK PINGIT WKWKKWKWKWK yg anak pingit mah yugy dulu kan ngga ikut yang ppkm itu
1467879271209181189,Geng mangkir ppkm udh pada punya ig ya
1467878718936809475,"boro2 dah nongki berjam2, berbulan2 gapernh berani ketemu terutama pas fase kmrn delta naik. ngalamin yg namanya cm nyentelin makanan di pager kost dia, atau dia yg nyentelin obat di pager rumah. GIMANA GUE MO LANGGAR PPKM COBA GUE TANYA. DIA AJA GALAK BGT KL MASALAH KESEHATAN"
1467878538757894145,"Dalam survei yang dilaksanakan pada 2 November sampai 6 November 2021, Indikator Politik Indonesia menemukan mayoritas masyarakat puas dengan (PPKM), protokol kesehatan (prokes) dan vaksinasi untuk mengendalikan pandemi Covid-19 di Tanah Air. https://t.co/0nGXj9hmNn"
1467877537963405312,Lebih rapet dari prokes ppkm
1467877478265810949,Luhut: 12 Wilayah di Jawa-Bali Masih PPKM Level 3 https://t.co/3vWoPR4HRh https://t.co/9hwoqvRusr
1467877424667181056,@jakesimIuv katanya gr2 ppkm jdi jam belajarnya kan kurang gtu
1467877203048222720,@ini_Nasyaa Tolong ppkm ditiadkan setelah itu
1467876839347523588,Patroli gabungan TNI-POLRI dan Satpol PP Kota Pekalongan dalam rangka Wasdal Gakkum dan Edukasi Pelaksanaan PPKM di wilayah Kota Pekalongan. senin (6/12) https://t.co/oQdc7Akw6E
