id,tweet
1468240056695541775,"ppkm batal. sesuk nak kasus e munggah meneh, tenan aku arep JIM sik dadi warga negara. arep fokus belajar bahasa korea."
1468239974898319378,PPKM Level 3 diundur sampe menjelang Ramadhan dan Idul Fitri nanti..🙊🙊 https://t.co/ohmSaTZfFw
1468239969328246789,oh gajadi ppkm takut ora iso nyekar ke tmpt opung
1468239953297612812,"Bersama Forkopimda Palas, Dandim 0212/Tapsel Laksanakan Rapat Evaluasi PPKM dan Vaksinasi https://t.co/i0Mh847RZT"
1468239726809391111,Kebijakan PPKM level 3 di seluruh wilayah Indonesia saat Natal dan Tahun Baru dibatalkan. Bagaimana nasib libur semester ganjil? Via: detikedu  https://t.co/PaMv6INLes
1468239674514751508,"@abu_waras @ElfizaEnny Yg satu bilang PPKM level 3, hari berikutnya bilang tidak berlaku.
Yg satu lagi kemaren bilang teroris, hari berikutnya bilang saudara kita.

Dibilang mencla mencle dan planga plongo gak mau... ada aja alasan buat ngeles"
1468239646647803917,"Biasanya kalau belanja bulanan, aku selalu stok makaroni. Selama ini sih paling mentok dimasak makaroni schotel atau buat isian sop. Eh kok mbak @ummifikri kepikiran aja ya bikin ini dari makaroni? 

https://t.co/WQXFCMy8kb 

@ConnectingMama PPKM #CM7Nov21"
1468239604046348290,"Kegiatan sambang  menyampaikan himbuan Kamtibmas dan giat patroli (PPKM) Mikro di  wilayah hukum Polsek Mijen.
@humaspolrestabessmg
@humaspoldajateng https://t.co/Cfcs9peIwG"
1468239356007747584,"PPKM Level 3 Batal, Pemerintah Tetap Larang Perayaan Tahun Baru  

#SatgasCovid19 #IngatPesanIbu #PakaiMasker #JagaJarak  #JagaJarakHindariKerumunan #CuciTangan #CuciTanganPakaiSabun #SudahDivaksinTetap3M #VaksinMelindungiKitaSemua
https://t.co/0m48e7nijI"
1468239308561731595,"Pemerintah Putuskan Tidak Terapkan PPKM Level 3 Saat Nataru 

#SatgasCovid19 #IngatPesanIbu #PakaiMasker #JagaJarak  #JagaJarakHindariKerumunan #CuciTangan #CuciTanganPakaiSabun #SudahDivaksinTetap3M #VaksinMelindungiKitaSemua
https://t.co/sto42T9t5V"
1468239284444569601,"Hi, yuks yg cari applikasi premium aku jual netflix, wetv, canva pro, viu vip, disney+ hotstar, youtube, iqiyi, hbo go, vidio, grammarly, scribd, nord vpn dll yah💙
trusted dan bergaransi💕

#zonauang #zonaba beli cari jual murah 
#BoikotJNE tuyul rumini ppkm hanggini junior jeha https://t.co/wJuq9k9v6X"
1468239244216967168,@kkmanti Kalo PPKM sdh level 4 tuh.. 😅
1468239187996520461,"PPKM Level 3 Se-Indonesia Batal, Mendagri Sebut Hanya Ganti Judulnya https://t.co/KJVOfAOnDk"
1468239184578199552,"semoga di tahun 2022 tidak ada yang namanya,dilarang mudik,ppkm apalah itu,kangen banget kumpul keluarga,semoga idul fitri kali ini bisa kumpul2 lagi amin https://t.co/SE32gwEblP"
1468239165808590874,"PPKM tidak berlaku bagi kamu hanya berlaku bagi dia dan mereka
Idul Fitri Nataru #TolakPermendikbud30 Tahun Baru"
1468239106819952655,@dwiyanlfs Loo kann PPKM rasidooo
1468239095247872000,@fridasip stlh tanggal 14 desember masih banyak kosong krn kmrn ragu2 pembatasan ppkm...
1468239027069460490,"PPKM Level 3 Batal, Presiden Jokowi Tak Ingin Penyekatan https://t.co/PPXfQysXiH"
1468238975039115266,"Setelah nataru longgar, covid naik lagi ntar di jadiin alasan buat memperketat PPKM pas Idul Fitri,

Moga aja salah"
1468238970010095622,"Sejak pandemi, semua serba online, termasuk urusan belanja bulanan. Yang mau belanja bulanan sambil dasteran, hemat, dan praktiscoba deh baca tulisan mama @ke2nai  

https://t.co/VB6RomEuvS 

@ConnectingMama PPKM #CM7Nov21"
1468238969129381902,"Kegiatan sambang  menyampaikan himbuan Kamtibmas dan giat patroli (PPKM) Mikro di  wilayah hukum Polsek Mijen.
@humaspolrestabessmg
@humaspoldajateng https://t.co/juKdWr4FPd"
1468238967254523911,"PPKM Dibatalkan, Jadwal Muktamar NU Dikembalikan pada 23-25 Desember

 #Sindonews #BukanBeritaBiasa .https://t.co/uqWIx5Jv64"
1468238867220287497,kalau semisalkan bener nih ya nataru gak jadi ada PPKM lv. 3 nanti kita liat 2022 apakah idul fitri juga akan berlaku demikian atau malah naik ke PPKM lv. 4
1468238771904782353,"Pemerintah Tak Jadi Berlakukan PPKM Level 3 saat Natal dan Tahun Baru, Netizen: Apa Karena Bukan Hari Besar Umat Islam? https://t.co/IoAIHiCjWa lewat @Repelita Online"
1468238636667834375,"Tantangan bagi guru sejak PPKM th 2020 dulu adalah beradaptasi utk mengajar online. Hal ini juga dilakukan Mama @atisatyaarifin as an english teacher in TBI. Baca deh ceritanya. Mayan nih buat ngelancarin B. Ing. 😁
#CM7Nov21
@ConnectingMama

https://t.co/eMrjExcFD2"
1468238572671094804,@yesuhday ada yang bisa dibantul ? soalnya kalo di jogja susah ya ppkm menjelang natal
1468238539934556171,"@CNNIndonesia PPKM, vaksin, PCR, bandara rugi trilyunan, ekonomi pariwisata lumpuh, belum lagi multiplier fx lainnya, semuanya terkait, kata engkong gw itu contoh kerja amatiran, Rabun strategis dan buta visi"
1468238504882757635,@Jataudihayo Woakwoakwka gw lupa udah ppkm 2
1468238286623850500,Pemerintah tidak jadi menerapkan aturan PPKM level 3 saat Natal &amp; Tahun baru di seluruh wilayah Indonesia :)
1468238245888770066,"Nonton drakor, les bahasa Inggris, sampai kursus untuk upgrade skills bisa makin mudah dan nyaman kalau pakai myIndiHome versi paling gress. 

Kata kak @SitiNur_JNH banyak kemudahannya yang ditawarkan lho. 

 https://t.co/tjyM75TXjU 

@ConnectingMama PPKM #CM7Nov21"
1468238180201779202,"PPKM Level 3 Resmi Batal, Ini Syarat Bepergian saat Natal dan Tahun Baru

https://t.co/k8wFSDzZWh"
1468237890555727873,"Asli ne sing bagian nentukan PPKM 
opo ora iki sopo toh??? Duh kok ora mudeng aq"
1468237887430873089,Pembatalan PPKM Level 3 Nataru Disambut Dunia Usaha https://t.co/eGMUqIxW2n
1468237855172485138,gjadi ppkm tapi ttp gbisa pulaaangg guys
1468237822150815750,"ppkm lvl 3 nataru dibatalin, ngaruh gak ya dihidup w? wkwkwk"
1468237819839660045,"@KAI121 min, di bulan desember ini apakah nanti KA Aglomerasi harus menyertakan hasil PCR/Antigen selain vaksin dosis lengkap mengingat ttg pemerintah membatalkan PPKM Lvl 3?"
1468237705616183319,"Opung mau natalan dulu, jadi sementara ga ada PPKM. https://t.co/ljRVXZhBec"
1468237669234884613,Kalo gak ada ppkm lvl 3.. Kira kita cuti bersamanya jadi ada gak ya? 🥲
1468237637987319820,"ini ppkm level 3 nya jadi gak sih, apa dibatalin?"
1468237613727420424,"JUAL NETFLIX ANTI HOLD GARANSI

SHR 45K/bln
PRV 190K/bln 
MINAT?DM/WA

spotify viu youtube prime disney hotstar wetv iflix grammarly apple music hbo go iqiyi vidio mola tv murah bts ikon jeha hanggi khilaf bobby ppkm pbsi junhoe junior ancol justin prik stiles stray to sore on E https://t.co/FMfqoWb1rS"
1468237554751320067,"Sebagai Head of Academic, aku sering mewawancarai pelamar dan baca cv mereka. Namun beberapa terlihat kurang pede karena merasa skills-nya pas2an. Nah kak 
 @Ciani_L kasih bocoran nih agar pede pas lamar kerja 

https://t.co/96lY1PDFcN 

@ConnectingMama PPKM #CM7Nov21"
1468237531921670146,"@patheticcat_ Malam kak. Sehubungan dengan diberlakukannya PPKM Level 2, per 6 Desember 2021, layanan Transjakarta beroperasi pada pukul 05:00 - 21:30 WIB. Sedangkan Layanan nakes dan AMARI beroperasi pada 21:31 - 22:30 WIB sesuai SK Kadishub No. 485 Tahun 2021. Terima kasih ^Ap"
1468237481531297804,"@salonpashott Ppkm nggak ada, cuma ganti nama doang🤣"
1468237419183017991,"Sumonggo Sedulur, simak pernyataan Juru Bicara Menko Marves terkait peniadaan PPKM Level 3 pada saat Natal dan Tahun Baru

#Kemenkomarves
#KominfoDIY
#PemdaDIY
#JogjaIstimewa https://t.co/07n0OcXgw7"
1468237408756019212,"Luhut Batalkan PPKM Level 3, Libur Sekolah di Solo saat Nataru Belum Berubah, Tunggu Surat Resmi
 
https://t.co/scMvvwTP0X lewat @Tribun_Solo"
1468237380339568651,"Kota Singkawang Masuk PPKM Level 1: SINGKAWANG, https://t.co/JyJ0LNHRCw – Kota Singkawang masuk sebagai daerah PPKM Level 1 di luar pulau Jawa dan... https://t.co/tVjgT0HYcE https://t.co/vGZ3t8soeD"
1468237348462809100,"Ppkm pas nataru tetap ada menurutku bagus &amp; bijak
coba aja kalau ppkm nya jadi dibatalin, malah suudzhon ga si, wkwk gatausi.
Tapi ya gpp lah ppkm dahulu, bebas selamanya kemudian, semoga."
1468237330737680387,"@MahfidD Kan masih ad varian baru yg belum masuk Indo, nanti udh dekat lebaran baru dikeluarin datanya kalo ad warga Indo yg terkena varian baru itu. Jadi deh alasan PPKM level 100"
1468237129364946945,"@VIVAcoid Pantesan ppkm dibatalin, soalnya kalo ppkm jadi ntar belio gabisa pulang ke indo"
1468237094862602246,"Bersama Forkopimda Palas, Dandim 0212/Tapsel Laksanakan Rapat Evaluasi PPKM dan Vaksinasi https://t.co/IDvB3bgqHO"
1468236989916921856,PPKM nataru di batalkan biar orang orang bisa liburan kumpul kumpul nyebarin virus nanti bulan februari-maret terjadi lonjakan lalu April mulai PPKM sampai Idul Fitri..
1468236947172864000,"PPKM level 3 di batalkan, jogja 3 hari naik kereta trus di sana sewa motor muter2 seru keknya"
1468236935319674882,"PPKM Dibatalkan, Jadwal Muktamar NU Dikembalikan pada 23-25 Desember https://t.co/RSPR0YCWgR"
1468236896996368392,"IG Instagram Rebecca Klopper dan Junior Roberts Diserang Warganet, Isu Pacar yang Selingkuh dari Hanggini

Trends : Jeha Khilaf Hanggini Junior #PPKM #BoikotJNE #DukungJNE Justin Bieber Rumini Idul Fitri Simon Nataru Junior Roberts 

https://t.co/oeKZPDQzYx"
1468236773616721934,"PPKM level 3 dibatalkan, boleh manggung dong hehe."
1468236763671973910,@nrsptraa_ Gajadi ppkm
1468236722261700616,"PPKM Level 3 Dibatalkan, 20 Ribu Wisatawan Domestik Bakal Datang ke Bali https://t.co/c88vBDxUnH"
1468236666649423884,"Ku tengok ya idul fitri tahun depan, sampe kutengok ada PPKM lagi fix demo. https://t.co/sozIUDPwtO"
1468236655307984902,"IG Instagram Rebecca Klopper dan Junior Roberts Diserang Warganet, Isu Pacar yang Selingkuh dari Hanggini

Trends : Jeha Khilaf Hanggini Junior #PPKM #BoikotJNE #DukungJNE Justin Bieber Rumini Idul Fitri Simon Nataru Junior Roberts 

https://t.co/oeKZPDQzYx"
1468236579491745809,Gas ppkm ga ada tapi di batasi pas di natal dan tahun baru ya itu bagus ajA
1468236569362550784,"Sebagai guru bahasa Inggris, aku seneng deh kalau sekarang makin banyak cara untuk fasilitasi anak belajar bahasa Inggris, seperti yang diceritakan bunda @hervayulyanti  

 https://t.co/JVHwQrmwWf 

@ConnectingMama PPKM #CM7Nov21"
1468236486873079814,"Panik, Yahya Staquf Intervensi Muktamar dan memaksa di kala PPKM Nataru
https://t.co/U3tTCmjzEx"
1468236425862815753,"@whatsadp Lapor Pa stok PCR Msh banyak, mau kedaluwarsa lagi, Ok PPKM batal, cuan bro"
1468236379960352779,"Cakep niih tulisannya mama @Ciani_L
Untuk siap kerja kudu dibekeli pelatihan. Dimana pelatihannya? Baca aja deh infonya ya. Mayan buat nunggu PPKM liburan ini bisa ikut2 pelatihan sapa tau thn baru langsung dpt kerjaan kan. 
#CM7Nov21
@ConnectingMama
 https://t.co/42Fs69ss72"
1468236315326132240,"#PPKMLevel3
#bansos
Jelang Nataru PPKM Level 3 Batal, Masih Ada Bansos yang Dicairkan? Cek Selengkapnya di Sini! https://t.co/vksbfQwa8C"
1468236295990386698,Apa mungkin tagar ini keluar setelah rame di twitter ppkm level 3 ga jadi berlaku di libur nataru? Sama sama lucu
1468235986362589191,@leezchaein Ppkm
1468235969233104906,Nanti kalo tahun baru islam sama Idul Fitri PPKM level 30 ya😚ngalahin boncabe aja https://t.co/w4m8rgxAaa
1468235738932252679,PPKM level 3 dibatalkan... ... Sudah jelaskan semuanya... Entahlah.... Semoga virusnya tidak menjadi jadi....
1468235661811593227,GENK MOTOR LAGI PPKM DI SURUH STOP DULU KALI TIS https://t.co/vtbSYofHc8
1468235643037827075,"Asli baca tulisan mba @ke2nai jadi inget org rumah. Emang sih belanja di Happy Fresh ini enak banget. Sejak PPKM sering banget belanja disini. Buat temen2 yg mau tau caranya dan ada diskonan apa aj cuss baca. 

#CM7Nov21
@ConnectingMama

https://t.co/f9WZTngAmu"
