created_at,author_id,tweet,retweet,reply,like,quote
2021-12-03 16:57:34+00:00,1169863634261954562,Siap² semuanya ppkm lvl 4 di depan mata https://t.co/IhFvMQV6oW,0,0,0,0
2021-12-03 16:57:30+00:00,65352152,@ccccladyana @ernestprakasa Iya soalnya ppkm level 3,0,1,0,0
2021-12-03 16:55:35+00:00,1363887252,"@johyewoin Hey aku lagi ultah!😆 Gak ada soale ppkm, tapi kalau jojo mau kirim kado boleh banget lhoooo :3",0,1,0,0
2021-12-03 16:52:48+00:00,1414972896640786432,"Menjelang Nataru 2022, Begini Aturan Perayaan Natal di Tengah PPKM Level 3
https://t.co/YzCyhWA5VI
Prokes Lindungi Rakyat",0,0,0,0
2021-12-03 16:52:38+00:00,1409396291738628097,@mamadarling2021 Selamat pagi mam sekarang udah kgk ngarep adegan cium kening atau apalah kan sebentar lagi ppkm diberlakukan kembali,0,0,0,0
2021-12-03 16:50:35+00:00,39056825,@nnnichan Ppkm,0,1,0,0
2021-12-03 16:49:40+00:00,1353756140870356994,https://t.co/4ur9cGJ627 Link daftar untuk permainan SABUNG AYAM ONLINE dengan minimal deposit 10 ribu. Hubungi WA 0819-1005-3031 #agensabungayam #ayamkampus #ayamkampusjogja #ayamkampusMalang #bispakhot #bispaksurabaya #bispakbandung #ikatancinta #Indonesia  #PPKM #PPKMDarurat,0,0,0,0
2021-12-03 16:49:16+00:00,97443614,"@ernestprakasa Cant wait!! Btw selamat ko @ernestprakasa dan team! 
semoga bisa nonton bebas hambatan krn kebijakan ppkm akhir tahun 🥲🥲🥲🥲",0,1,1,0
2021-12-03 16:45:49+00:00,1243436517462175745,"@03__nakula Memang gubernur nya aja yg sengaja berbohong. Sdh tau kok bhw akhir tahun akan diberlakukan PPKM level 3. Acara Nataru saja dilarang, eh.. mau datangkan org dari luar.
Jd dia sengaja dgn tujuan menyalahkan pemerintah pusat krn melarang",0,0,12,0
2021-12-03 16:45:45+00:00,1268440877082566656,@realafiuyyy Sebenarnya kalau g ad ppkm aku mmg beneran ada rencana sii pii wkwkwk,0,3,0,0
