date,title,clean_title
2021-12-01,"Genoa Vs AC Milan, Shevchenko Ingin Buat Mantan Klub Kesulitan",genoa vs ac milan shevchenko mantan klub kesulitan
2021-12-01,ODHA di Depok Masih Dapat Stigma Negatif,odha depok stigma negatif
2021-12-01,Pemprov Jakarta Bentuk Tim Khusus Awasi Alat Makan Bahan Melamin Tak Ber-SNI,pemprov jakarta bentuk tim khusus awasi alat makan bahan melamin ber sni
2021-12-01,Penonton Lokal Piala AFF 2020 Acuhkan 5 Aturan Ini,penonton lokal piala aff acuhkan aturan
2021-12-01,"Pada Akhir Pekan, Penumpang di Bandara Soekarno-Hatta Capai 90.000 Orang",pekan penumpang bandara soekarno hatta capai orang
2021-12-01,"PPKM Level 2, Regulasi PTM di Jakarta Barat Tidak Berubah",ppkm level regulasi ptm jakarta barat berubah
2021-12-01,"Link Live Streaming Bologna Vs Roma, Kick-off Pukul 00.30 WIB",link live streaming bologna vs roma kick off wib
2021-12-01,"Singgung Varian Corona Omicron, Menlu Ungkap 4 Agenda RI Wujudkan Visi 2045 ",singgung varian corona omicron menlu agenda ri wujudkan visi
2021-12-01,"Real Madrid Vs Athletic Bilbao, Singa Basque Wajib Waspadai Benzema",real madrid vs athletic bilbao singa basque wajib waspadai benzema
2021-12-01,Pelatih Timnas China Akui Kesulitan lantaran Covid-19,pelatih timnas china akui kesulitan lantaran covid
2021-12-01,"Mensos Ingatkan Guru Ajarkan Siswa Tak ""Bully"" Penyandang Disabilitas",mensos ingatkan guru ajarkan siswa bully penyandang disabilitas
2021-12-01,"Link Live Streaming Inter Milan Vs Spezia, Kick-off Pukul 00.30 WIB",link live streaming inter milan vs spezia kick off wib
2021-12-01,Ragam Istilah Teknis pada AC yang Perlu Diketahui,ragam istilah teknis ac
2021-12-01,"Massa Reuni 212 Bakal Kumpul di Patung Kuda, Ini Respons Wagub DKI",massa reuni kumpul patung kuda respons wagub dki
2021-12-01,MyPertamina Fair 2021 Siap Manjakan Pelanggan Setia Pertamina,mypertamina fair manjakan pelanggan setia pertamina
2021-12-01,"Dugaan Korupsi Dana KONI Padang, Pengurus Cabor Minta Kejari Usut Aliran Dana",dugaan korupsi dana koni padang pengurus cabor kejari usut aliran dana
2021-12-01,"Daftar 5 ""Veteran"" di Skuad Timnas Indonesia untuk Piala AFF 2020",daftar veteran skuad timnas indonesia piala aff
2021-12-01,Ambisi Guangzhou FC Raih Kali Kesembilan Juara Liga Super China,ambisi guangzhou fc raih kali kesembilan juara liga super china
2021-12-01,"Selidiki Tewasnya Anggota FBR Joglo, Polisi: Pemeriksaan Saksi Tanpa Bawa Nama Ormas",selidiki tewasnya anggota fbr joglo polisi pemeriksaan saksi bawa nama ormas
2021-12-01,Gunung Merapi Keluarkan 2 Awan Panas Guguran Malam Ini,gunung merapi keluarkan awan panas guguran malam
2021-12-01,"Jokowi Lantik Anggota Komnas Disabilitas, Mensos: Beban Saya Turun",jokowi lantik anggota komnas disabilitas mensos beban turun
